Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Kite Runner,Khaled Hosseini,"",9781594631931,paperback,to-read,2025/02/11,"","",0,"",,,,,,,,,"",,to-be-read,Yes
The Awakening,Kate Chopin,"",9780543898081,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"",9781594202292,hardcover,read,2024/12/18,2025/07/06,2025/06/13-2025/07/06,1,"",,,,,,,1.0,,"",,"to-be-read, dnf",Yes
The Perks of Being a Wallflower,Stephen Chbosky,"","",hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
All In,Jennifer Lynn Barnes,"",9781484716434,hardcover,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
A Thousand Splendid Suns,Khaled Hosseini,"",9781594489501,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Crime and Punishment,Fyodor Dostoevsky,"Constance Garnett (Translator), Priscilla Meyer (Contributor)",9781593080815,paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Don Quixote,Miguel de Cervantes,"","",paperback,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,No
Not in Love,Ali Hazelwood,"",9781408728918,digital,read,2024/11/12,2024/08/24,2024/08/24,1,"",,,,,,,3.0,,"",,"",No
Deep End,Ali Hazelwood,"",9780593641057,hardcover,read,2025/02/01,2026/01/17,2026/01/11-2026/01/17,1,"",,"","","","","",5.0,<div>6/5. Amazing fucking amazing</div>,"","",to-be-read,No
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"","",digital,to-read,2024/12/18,"","",0,"",,,,,,,,,"",,to-be-read,Yes
Betting On You,Lynn Painter,"",9781665921237,hardcover,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
A Good Girl's Guide to Murder,Holly Jackson,"",9781405293181,paperback,to-read,2025/02/23,"","",0,"",,,,,,,,,"",,"",No
